STC AREEJA 3DS MAX â€” COMPLETE ASSET INVENTORY
Generated: 2026-08-09 21:05:31
Source: C:\Users\PC\Desktop\NEW STC AREEJA-3DMAX

PATH | TYPE | SIZE | EXTENSION | CREATED | MODIFIED
------------------------------------------------------------------------------------------------------------------------------------------------------
areja-update-render.3ds | FILE | 321,907,023 bytes / 306.99 MB | .3ds | 2026-08-06 15:17:56 | 2026-08-06 15:17:59
MATERIALS | DIR | - | - | 2026-08-06 15:59:02 | 2026-08-06 16:11:54
MATERIALS\_.jpg | FILE | 145,655 bytes / 0.14 MB | .jpg | 2026-08-06 15:09:44 | 2026-08-06 15:09:44
MATERIALS\__sRGB_ACEScg.jpg.tx | FILE | 624,479 bytes / 0.60 MB | .tx | 2026-08-06 15:48:50 | 2026-08-06 15:09:44
MATERIALS\_12.jpg | FILE | 17,745 bytes / 0.02 MB | .jpg | 2026-08-06 15:15:02 | 2026-08-06 15:15:02
MATERIALS\_12_sRGB_ACEScg.jpg.tx | FILE | 15,306 bytes / 0.01 MB | .tx | 2026-08-06 15:49:01 | 2026-08-06 15:15:02
MATERIALS\_20.jpg | FILE | 358,930 bytes / 0.34 MB | .jpg | 2026-08-06 15:10:26 | 2026-08-06 15:10:26
MATERIALS\_20_sRGB_ACEScg.jpg.tx | FILE | 2,342,965 bytes / 2.23 MB | .tx | 2026-08-06 15:48:50 | 2026-08-06 15:10:26
MATERIALS\_23.jpg | FILE | 9,830 bytes / 0.01 MB | .jpg | 2026-08-06 15:15:03 | 2026-08-06 15:15:03
MATERIALS\_23_sRGB_ACEScg.jpg.tx | FILE | 86,906 bytes / 0.08 MB | .tx | 2026-08-06 15:48:53 | 2026-08-06 15:15:03
MATERIALS\_3.jpg | FILE | 360,153 bytes / 0.34 MB | .jpg | 2026-08-06 15:07:41 | 2026-08-06 15:07:41
MATERIALS\_39.jpg | FILE | 25,030 bytes / 0.02 MB | .jpg | 2026-08-06 15:16:05 | 2026-08-06 15:16:05
MATERIALS\_39_sRGB_ACEScg.jpg.tx | FILE | 865,372 bytes / 0.83 MB | .tx | 2026-08-06 15:48:50 | 2026-08-06 15:16:05
MATERIALS\_4.jpg | FILE | 303,569 bytes / 0.29 MB | .jpg | 2026-08-06 15:14:27 | 2026-08-06 15:14:27
MATERIALS\_4_sRGB_ACEScg.jpg.tx | FILE | 1,679,843 bytes / 1.60 MB | .tx | 2026-08-06 15:48:53 | 2026-08-06 15:14:27
MATERIALS\_40.jpg | FILE | 6,479 bytes / 0.01 MB | .jpg | 2026-08-06 15:09:49 | 2026-08-06 15:09:49
MATERIALS\_40_sRGB_ACEScg.jpg.tx | FILE | 65,406 bytes / 0.06 MB | .tx | 2026-08-06 15:48:51 | 2026-08-06 15:09:49
MATERIALS\_41.jpg | FILE | 8,673 bytes / 0.01 MB | .jpg | 2026-08-06 15:09:49 | 2026-08-06 15:09:49
MATERIALS\_41_sRGB_ACEScg.jpg.tx | FILE | 56,525 bytes / 0.05 MB | .tx | 2026-08-06 15:48:52 | 2026-08-06 15:09:49
MATERIALS\_46.jpg | FILE | 377,688 bytes / 0.36 MB | .jpg | 2026-08-06 15:12:06 | 2026-08-06 15:12:06
MATERIALS\_46_sRGB_ACEScg.jpg.tx | FILE | 5,115,929 bytes / 4.88 MB | .tx | 2026-08-06 15:48:49 | 2026-08-06 15:12:06
MATERIALS\_5.jpg | FILE | 16,727 bytes / 0.02 MB | .jpg | 2026-08-06 15:09:46 | 2026-08-06 15:09:46
MATERIALS\_5_sRGB_ACEScg.jpg.tx | FILE | 156,919 bytes / 0.15 MB | .tx | 2026-08-06 15:48:52 | 2026-08-06 15:09:46
MATERIALS\_54.jpg | FILE | 7,181 bytes / 0.01 MB | .jpg | 2026-08-06 15:09:49 | 2026-08-06 15:09:49
MATERIALS\_54_sRGB_ACEScg.jpg.tx | FILE | 39,857 bytes / 0.04 MB | .tx | 2026-08-06 15:48:53 | 2026-08-06 15:09:49
MATERIALS\_6.png | FILE | 94,828 bytes / 0.09 MB | .png | 2026-08-06 15:14:39 | 2026-08-06 15:14:39
MATERIALS\_6_sRGB_ACEScg.png.tx | FILE | 202,670 bytes / 0.19 MB | .tx | 2026-08-06 15:48:53 | 2026-08-06 15:14:39
MATERIALS\_63.jpg | FILE | 602,786 bytes / 0.57 MB | .jpg | 2026-08-06 15:11:47 | 2026-08-06 15:11:47
MATERIALS\_63_sRGB_ACEScg.jpg.tx | FILE | 3,818,207 bytes / 3.64 MB | .tx | 2026-08-06 15:48:49 | 2026-08-06 15:11:47
MATERIALS\_7.jpg | FILE | 10,320 bytes / 0.01 MB | .jpg | 2026-08-06 15:14:48 | 2026-08-06 15:14:48
MATERIALS\_7_sRGB_ACEScg.jpg.tx | FILE | 88,684 bytes / 0.08 MB | .tx | 2026-08-06 15:48:53 | 2026-08-06 15:14:48
MATERIALS\_8.jpg | FILE | 39,583 bytes / 0.04 MB | .jpg | 2026-08-06 15:14:39 | 2026-08-06 15:14:39
MATERIALS\_8_sRGB_ACEScg.jpg.tx | FILE | 271,603 bytes / 0.26 MB | .tx | 2026-08-06 15:48:55 | 2026-08-06 15:14:39
MATERIALS\_Color_A.jpg | FILE | 361,429 bytes / 0.34 MB | .jpg | 2026-08-06 15:07:34 | 2026-08-06 15:07:34
MATERIALS\_Color_A_sRGB_ACEScg.jpg.tx | FILE | 2,850,337 bytes / 2.72 MB | .tx | 2026-08-06 15:48:55 | 2026-08-06 15:07:34
MATERIALS\_Color01.jpg | FILE | 17,190 bytes / 0.02 MB | .jpg | 2026-08-06 15:08:58 | 2026-08-06 15:08:58
MATERIALS\_Concret.jpg | FILE | 27,420 bytes / 0.03 MB | .jpg | 2026-08-06 15:08:58 | 2026-08-06 15:08:58
MATERIALS\_Concret_sRGB_ACEScg.jpg.tx | FILE | 100,968 bytes / 0.10 MB | .tx | 2026-08-06 15:48:58 | 2026-08-06 15:08:58
MATERIALS\_Gainsbo.jpg | FILE | 9,980 bytes / 0.01 MB | .jpg | 2026-08-06 15:08:58 | 2026-08-06 15:08:58
MATERIALS\_Gainsbo_sRGB_ACEScg.jpg.tx | FILE | 101,811 bytes / 0.10 MB | .tx | 2026-08-06 15:49:01 | 2026-08-06 15:08:58
MATERIALS\_Metal_A.jpg | FILE | 2,508 bytes / 0.00 MB | .jpg | 2026-08-06 15:09:00 | 2026-08-06 15:09:00
MATERIALS\0514e093.jpg | FILE | 18,995 bytes / 0.02 MB | .jpg | 2026-08-06 15:09:43 | 2026-08-06 15:09:43
MATERIALS\0514e093_sRGB_ACEScg.jpg.tx | FILE | 149,193 bytes / 0.14 MB | .tx | 2026-08-06 15:48:51 | 2026-08-06 15:09:43
MATERIALS\737_over.jpg | FILE | 631 bytes / 0.00 MB | .jpg | 2026-08-06 15:09:07 | 2026-08-06 15:09:07
MATERIALS\737_over_sRGB_ACEScg.jpg.tx | FILE | 1,675 bytes / 0.00 MB | .tx | 2026-08-06 15:48:53 | 2026-08-06 15:09:07
MATERIALS\7c956e2a.jpg | FILE | 18,465 bytes / 0.02 MB | .jpg | 2026-08-06 15:09:44 | 2026-08-06 15:09:44
MATERIALS\7c956e2a_sRGB_ACEScg.jpg.tx | FILE | 143,261 bytes / 0.14 MB | .tx | 2026-08-06 15:48:55 | 2026-08-06 15:09:44
MATERIALS\Asphalt_.jpg | FILE | 447,328 bytes / 0.43 MB | .jpg | 2026-08-06 15:07:34 | 2026-08-06 15:07:34
MATERIALS\Asphalt__sRGB_ACEScg.jpg.tx | FILE | 1,686,220 bytes / 1.61 MB | .tx | 2026-08-06 15:48:52 | 2026-08-06 15:07:34
MATERIALS\Concrete.jpg | FILE | 326,369 bytes / 0.31 MB | .jpg | 2026-08-06 15:16:56 | 2026-08-06 15:16:56
MATERIALS\Concrete_sRGB_ACEScg.jpg.tx | FILE | 1,343,935 bytes / 1.28 MB | .tx | 2026-08-06 15:48:48 | 2026-08-06 15:16:56
MATERIALS\corona | DIR | - | - | 2026-08-06 09:47:11 | 2026-08-06 11:33:35
MATERIALS\corona - Copy | DIR | - | - | 2026-08-06 16:03:01 | 2026-08-06 16:03:11
MATERIALS\corona - Copy\3D-KID BEDROOM-MANALE.rar | FILE | 817,304,721 bytes / 779.44 MB | .rar | 2026-08-06 16:03:01 | 2026-08-06 10:01:12
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64 | DIR | - | - | 2026-08-06 16:03:07 | 2026-08-06 16:03:07
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64.part1.rar | FILE | 1,663,041,536 bytes / 1,586.00 MB | .rar | 2026-08-06 16:03:01 | 2026-08-06 10:37:35
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64.part2.rar | FILE | 1,663,041,536 bytes / 1,586.00 MB | .rar | 2026-08-06 16:03:01 | 2026-08-06 10:30:21
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64.part3.rar | FILE | 1,499,210,162 bytes / 1,429.76 MB | .rar | 2026-08-06 16:03:02 | 2026-08-06 10:36:41
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64 | DIR | - | - | 2026-08-06 16:03:07 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3ds.Max.2024.2.1.Multilingual.iso | FILE | 4,997,664,768 bytes / 4,766.14 MB | .iso | 2026-08-06 16:03:07 | 2024-02-02 10:28:15
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 16:03:10 | 2013-03-11 14:02:51
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max.rar | FILE | 1,068,516,637 bytes / 1,019.02 MB | .rar | 2026-08-06 16:03:03 | 2026-08-06 10:36:09
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\chaos-corona-14-update-1-3dsmax-hotfix1.exe | FILE | 1,098,441,472 bytes / 1,047.56 MB | .exe | 2026-08-06 16:03:10 | 2026-02-23 21:04:11
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Crack | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Crack\LegionLib_Release.dll | FILE | 5,573,632 bytes / 5.32 MB | .dll | 2026-08-06 16:03:10 | 2026-02-16 00:00:00
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\ReadMe (How to Install).txt | FILE | 2,421 bytes / 0.00 MB | .txt | 2026-08-06 16:03:10 | 2026-02-23 21:06:14
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 16:03:10 | 2013-03-12 00:32:51
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max.rar | FILE | 1,078,625,147 bytes / 1,028.66 MB | .rar | 2026-08-06 16:03:03 | 2026-08-06 10:30:45
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\chaos-corona-15-3dsmax-hotfix2.exe | FILE | 1,142,972,712 bytes / 1,090.02 MB | .exe | 2026-08-06 16:03:10 | 2026-07-31 21:22:49
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Crack | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Crack\LegionLib_Release.dll | FILE | 6,049,280 bytes / 5.77 MB | .dll | 2026-08-06 16:03:10 | 2026-07-31 00:00:00
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\ReadMe (How to Install).txt | FILE | 2,365 bytes / 0.00 MB | .txt | 2026-08-06 16:03:10 | 2026-07-31 21:24:05
